Distritos,Malls,Direccion,Limite,Porcentaje actual,Aforo actual,Aforo total,Actualizacion
INDEPENDENCIA,Plaza Norte,Av. Alfredo Mendiola 1400,30%,11%,"4186 personas
aforo actual",37023,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:30
SAN JUAN DE MIRAFLORES,Mall del Sur,Av. Los Lirios Nro. 301,30%,3%,"785 personas
aforo actual",25214,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:30
HUACHO,Plaza del Sol Huacho,Calle Clon 601,30%,0%,"15 personas
aforo actual",4223,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:35
ICA,Plaza del Sol Ica,Av. San Martín 727,30%,0%,"0 personas
aforo actual",6123,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
PIURA,Plaza del Sol Grau,Av Grau 1460,30%,0%,"0 personas
aforo actual",5631,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
PIURA,Plaza del Sol Centro,Calle Cuzco 801,30%,0%,"0 personas
aforo actual",2469,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:35
PIURA,Plaza del Sol Ampliación,Jr Apurímac 560,30%,0%,"2 personas
aforo actual",2005,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:35
SAN MIGUEL,Centro Comercial Plaza San Miguel,Av. La Marina 2000,30%,0%,"0 personas
aforo actual",32256,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:30
SANTIAGO DE SURCO,Jockey Plaza Shopping Center,Avenida Javier Prado Este 4200,30%,0%,"96 personas
aforo actual",39997,(*) Ultima Actualización por Centro Comercial: 15/05/2021 23:58
SURQUILLO,Open Plaza Angamos,Av. Angamos N° SN (Esq. Con Tomas Marsano),30%,0%,"0 personas
aforo actual",11733,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
SAN JUAN DE MIRAFLORES,Open Plaza Atocongo,Av. Circunvalacion N° 1803,30%,0%,"0 personas
aforo actual",11763,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
SAN MIGUEL,Open Plaza La Marina,Av. La Marina N° 2355 Urb. Maranga (1era Etapa),30%,0%,"0 personas
aforo actual",9869,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
CALLAO,Open Plaza Canta Callao,Av. Canta Callao N°378 Provincia Const. Del Callao (Cruce Con Av. Bertello- ex Japón),30%,0%,"0 personas
aforo actual",3869,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
CASTILLA,Open Plaza Piura,Av. Andres Avelino Cáceres N°147 Urb. Miraflores II Etapa,30%,0%,"0 personas
aforo actual",11442,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
CHICLAYO,Open Plaza Chiclayo,Av. V.Raul Haya De La Torre N° Urb.San Eduardo,20%,0%,"0 personas
aforo actual",4761,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
TRUJILLO,Open Plaza Trujillo,Av. America Norte N°1245 Urb. Los Jardines,30%,0%,"0 personas
aforo actual",4626,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
CAJAMARCA,Open Plaza Cajamarca,Av. Evitamiento Norte Cuadra 26,30%,0%,"0 personas
aforo actual",5287,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
YARINACOCHA,Open Plaza Pucallpa,Av. Centenario 2086,30%,0%,"0 personas
aforo actual",8425,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
HUANUCO,Open Plaza Huánuco,Jr 2 De Mayo N° 175,30%,0%,"0 personas
aforo actual",3937,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
HUANCAYO,Open Plaza Huancayo,Av. Ferrocarril 146-150 - Prolongacion San Carlos 136 y Jiron Amazonas 175,30%,0%,"0 personas
aforo actual",12342,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
CALLAO,Minka,Av. Argentina 3093,30%,0%,"0 personas
aforo actual",25000,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:25
SANTA ANITA,Mall Aventura Santa Anita,"Av. Nicolás Ayllón, Santa Anita 15008",30%,0%,"0 personas
aforo actual",24192,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:36
PAUCARPATA,Mall Aventura Arequipa,Av. Porongoche 500,30%,0%,"0 personas
aforo actual",22009,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:36
CHICLAYO,Mall Aventura Chiclayo,Panamericana Norte cruce con Avenida Escrivá de Balaguer,20%,0%,"0 personas
aforo actual",14720,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:36
BELLAVISTA,Mall Plaza Bellavista, Av. Oscar R. Benavides 3866,30%,5%,"1128 personas
aforo actual",23157,(*) Ultima Actualización por Centro Comercial: 15/05/2021 23:50
TRUJILLO,Mall Plaza Trujillo,Av. América Oeste s/n,30%,13%,"3260 personas
aforo actual",25399,(*) Ultima Actualización por Centro Comercial: 15/05/2021 23:50
CAYMA,Mall Plaza Arequipa,Av. Ejercito 795,30%,0%,"0 personas
aforo actual",13105,(*) Ultima Actualización por Centro Comercial: 15/05/2021 23:50
COMAS,Mall Plaza Comas, Av Los Angeles,30%,2%,"338 personas
aforo actual",19527,(*) Ultima Actualización por Centro Comercial: 15/05/2021 23:50
CERRO COLORADO,Arequipa Center,Av. Aviación 602,30%,0%,"0 personas
aforo actual",9270,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:33
CHORRILLOS,Plaza Lima Sur,Av. Paseo de la República SN,30%,0%,"0 personas
aforo actual",17386,(*) Ultima Actualización por Centro Comercial: 16/05/2021 00:33
CAYMA,Real Plaza Arequipa,Av. Ejercito Nº 1009,30%,3%,"270 personas
aforo actual",7747,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
CAJAMARCA,Real Plaza Cajamarca,Av. Evitamiento Norte,30%,0%,"0 personas
aforo actual",11609,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
CUSCO,Real Plaza Cusco,Av. CollasuyoNro. 2964,20%,0%,"0 personas
aforo actual",16356,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
HUANUCO,Real Plaza Huánuco,Jr. Independencia cuadras 16-17,30%,17%,"1233 personas
aforo actual",7411,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
HUANCAYO,Real Plaza Huancayo,Av. Ferrocarril Nro. 1035,30%,3%,"356 personas
aforo actual",12349,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
TRUJILLO,Real Plaza Trujillo,Av. Cesar Vallejo Oeste N°1345,30%,3%,"519 personas
aforo actual",18813,(*) Ultima Actualización por Centro Comercial: 15/05/2021 21:50
